ID,Unnamed: 0,Date,city,race_n_time,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Yas,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,Mevsim,KG,K,DB,SK,SKG,TS,GKR,AP,YP,TGK,ÖG,KGS,SGKR,DS
WOODS RUNNER(10) KG  SK  ,307019,10/06/2019,Bursa,4. Koşu:15:30,O.YILDIZ,T.ALICI,False,0,4y d a,117.47,6.0,600,9,10.0,4,76,33,9,10,10,10,29,11.0,9.0,6.0,8.0,6.0,21,0,1,1,2,0,4,4,9,,15.32306120711671,16.51213006477835,15.07032819825854,14.84560570071259,9,33,4,15:30,4,d,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SONBİLGİNUR(7) KG  SK  ,307037,10/06/2019,Bursa,2. Koşu:14:30,A.İNCİ,A.İNCİ,True,1,4y k k,144.07,39.6,3960,7,1.0,7,53,50,4,6,6,8,16,7.0,11.0,14.0,8.0,8.0,26,1,1,5,3,3,3,19,11,13.88214062608454,14.13427561837456,13.22459775181838,13.56720612462448,14.60006257169674,7,50,2,14:30,4,k,k,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
EMBABBE(8) SKG  SK  ,307045,18/06/2019,Kocaeli,7. Koşu:20:30,F.ARSLAN,F.ARSLAN,True,1,3y d e,129.77,51.15,5115,8,1.0,8,36,41,8,8,7,11,23,8.0,8.0,6.0,4.0,4.0,9,0,0,0,3,0,0,0,33,14.64128843338214,14.48781319243225,14.37814521926671,15.35469341795475,15.39645881447267,8,41,7,20:30,3,d,e,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KURUCU(6) DB  SKG  SK  BB  ,307093,12/06/2019,İstanbul,5. Koşu:16:30,M.ÇİÇEK,M.ÇİÇEK,True,1,3y d e,133.42,13.9,1390,5,5.0,7,46,73,14,14,14,12,42,5.0,4.0,5.0,2.0,1.0,11,2,3,3,1,18,27,27,9,15.73976915005247,16.04523227383863,16.10651777085794,16.30561378989052,16.15835184811149,5,73,5,16:30,3,d,e,yaz,0,0,1,1,1,0,0,0,0,0,0,0,0,0
LEWANDOWSKI(7),307101,12/06/2019,İstanbul,5. Koşu:16:30,A.ÇELİK,A.ÇELİK,True,1,3y d e,133.05,12.8,1280,3,5.0,8,38,86,17,15,14,12,46,3.0,11.0,6.0,2.0,1.0,5,1,1,1,0,20,20,20,0,15.78354002254791,16.43891914106647,16.29502572898799,16.58191465841256,16.38193306810204,3,86,5,16:30,3,d,e,yaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MİRA MİRA(13) K  ,307107,12/06/2019,İstanbul,4. Koşu:16:00,A.ÇELİK,A.ÇELİK,True,1,4y a k,116.21,15.6,1560,15,5.0,6,53,6,17,15,14,12,46,15.0,1.0,9.0,3.0,3.0,20,5,1,4,1,25,5,20,5,13.76817829790896,14.96819259074467,14.94768310911809,14.73839351510685,14.98448035962753,15,6,4,16:00,4,a,k,yaz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RASİMBEY(2) K  ,307166,12/06/2019,İstanbul,2. Koşu:15:00,M.P.DEMİR,M.P.DEMİR,True,1,4y d a,86.21,5.5,550,4,,0,100,80,9,7,8,10,24,4.0,2.0,1.0,3.0,2.0,32,9,5,3,4,28,15,9,12,16.23941538104628,16.68520578420467,16.35514018691589,16.09096760351856,16.0,4,80,2,15:00,4,d,a,yaz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KHOR KALBA(5) KG  SK  ,307253,14/06/2019,Bursa,2. Koşu:15:30,M.ÇİÇEK,M.ÇİÇEK,True,1,6y d a,88.26,5.25,525,2,14.0,3,70,88,14,14,14,12,42,2.0,4.0,3.0,9.0,7.0,67,6,9,12,7,8,13,17,10,16.99524133242692,16.50846058605035,16.48714003077599,15.79957115449723,16.17795753286148,2,88,2,15:30,6,d,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GOES WILD(7) SK  ,307284,14/06/2019,İstanbul,7. Koşu:20:30,S.ERKUŞ,S.ERKUŞ,True,1,3y d e,145.38,53.9,5390,9,1.0,9,57,57,8,9,9,10,26,9.0,9.0,5.0,,,3,0,0,0,0,0,0,0,0,13.75705048837529,14.53065969195001,15.26096245803235,,,9,57,7,20:30,3,d,e,yaz,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EL GAMBO(8) KG  SK  ,307303,13/06/2019,İzmir,7. Koşu:21:00,MUH.OK,MUH.OK,True,1,5y a a,83.41,24.9,2490,9,1.0,7,46,38,5,7,7,10,19,9.0,12.0,11.0,7.0,11.0,33,5,3,4,1,15,9,12,3,15.58566119170363,15.85324425319896,16.84919966301601,15.01328097932787,14.84308736217133,9,38,7,21:00,5,a,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
