ID,Unnamed: 0,Date,city,race_n_time,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Yas,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,Mevsim,KG,K,DB,SK,SKG,TS,GKR,AP,YP,TGK,ÖG,KGS,SGKR,DS
ENGİNYAR(12) KG  SK  ,511,08/07/2015,Elazığ,8. Koşu:18:00,S.KAPLAN,S.KAPLAN,True,1,4y a a,157.51,12.65,1265,8,2.0,11,21,46,8,8,7,9,23,8.0,10.0,5.0,11.0,10.0,35,1,3,0,6,2,8,0,17,11.42784585105708,10.88613106901807,11.46402319778812,10.9799615701345,9.382513340761156,8,46,8,18:00,4,a,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TÜRK LOKUMU(8) KG  ,531,29/07/2015,Elazığ,8. Koşu:18:00,R.YILDIRIM,R.YILDIRIM,True,1,4y a k,167.86,15.85,1585,13,1.0,12,0,7,4,6,6,7,16,13.0,6.0,6.0,9.0,7.0,22,1,1,2,4,4,4,9,18,10.12748719170737,13.87764542615936,13.4524839050639,13.58827525963312,13.971358714635,13,7,8,18:00,4,a,k,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KINGDOM(6) KG  K  ,560,29/07/2015,Elazığ,6. Koşu:17:00,C.TEPE,C.TEPE,True,1,7y d a,147.87,10.1,1010,7,3.0,11,8,53,8,8,7,8,23,7.0,14.0,8.0,7.0,9.0,56,6,6,9,5,10,10,16,8,13.52539392709813,14.89678655032986,13.97917103515762,14.00456991228717,13.72872048325096,7,53,6,17:00,7,d,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ŞAHDİLDAR(10) KG  K  ,601,21/07/2015,Ankara,8. Koşu:17:30,MÜS.ÇELİK,MÜS.ÇELİK,True,1,2y d d,74.67,3.55,355,7,16.0,2,90,39,14,13,13,12,40,7.0,,,,,1,0,0,0,0,0,0,0,0,16.07071112896746,,,,,7,39,8,17:30,2,d,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEHERE VERE(8) SKG  SK  ,618,21/07/2015,Ankara,8. Koşu:17:30,E.METİN,E.METİN,True,1,2y a d,73.96,8.8,880,3,5.0,8,29,80,8,9,10,10,27,3.0,,,,,1,0,0,1,0,0,0,100,0,16.22498647917794,,,,,3,80,8,17:30,2,a,d,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KIZILÖREN(8) KG  K    ,624,14/07/2015,Ankara,10. Koşu:18:00,O.BULUT,O.BULUT,True,1,5y d a,131.24,3.35,335,5,15.0,2,92,73,7,8,8,9,23,5.0,6.0,1.0,7.0,3.0,27,3,2,3,2,11,7,11,7,14.47729350807681,14.0462590130162,14.64580282124412,13.92228831793444,13.34546557476494,5,73,10,18:00,5,d,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DESTANBABA(7) KG  SK  ,644,08/07/2015,Elazığ,6. Koşu:17:00,C.TEPE,C.TEPE,True,1,3y k e,101.39,24.8,2480,8,1.0,9,35,46,8,8,7,8,23,8.0,7.0,1.0,6.0,5.0,8,1,0,0,0,12,0,0,0,11.83548673439195,12.43162605668821,12.24239951030402,11.91185229303157,11.63405605499736,8,46,6,17:00,3,k,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
POONAWALLA(8) KG  DB  ,717,22/07/2015,İstanbul,8. Koşu:21:30,M.ÇİÇEK,M.ÇİÇEK,True,1,5y d k,98.42,20.65,2065,9,1.0,9,18,19,14,14,14,12,42,9.0,11.0,13.0,12.0,6.0,23,3,3,0,0,13,13,0,0,16.25685836212152,15.7563025210084,16.220600162206,16.23728079670925,16.10169491525424,9,19,8,21:30,5,d,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TURBOKAYA(10) KG    ,723,21/07/2015,Adana,4. Koşu:20:00,SER.ÇELİK,SER.ÇELİK,True,1,8y k a,126.34,17.9,1789,12,3.0,7,56,26,2,4,3,3,9,12.0,14.0,12.0,11.0,7.0,65,3,2,7,4,4,3,10,6,13.45575431375653,12.80175566934894,12.80707882174875,12.99183370452858,12.56530652734607,12,26,4,20:00,8,k,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RUŞEN(9) KG  SK  ,749,22/07/2015,Elazığ,6. Koşu:17:30,D.TAŞ,D.TAŞ,True,1,3y a e,135.62,12.1,1210,9,1.0,10,9,27,2,2,3,1,7,9.0,5.0,8.0,7.0,,4,0,0,0,0,0,0,0,0,11.06031558767143,12.10898082744702,11.51109250732524,11.23490309896077,,9,27,6,17:30,3,a,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AMİSTAD(7) K  ,754,14/07/2015,Adana,9. Koşu:21:30,GÖKH.YILMAZ,GÖKH.YILMAZ,True,1,4y k a,100.33,14.6,1460,6,2.0,9,50,68,6,7,7,9,20,6.0,6.0,7.0,5.0,7.0,6,0,0,0,1,0,0,0,16,14.03736097613649,13.95395195853683,13.19627726073066,13.12698632029847,13.73336150433129,6,68,9,21:30,4,k,a,yaz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECRED FAIR(10) (USA) SKG  SK  ,914,21/07/2015,Adana,3. Koşu:19:30,S.ERKUŞ,S.ERKUŞ,True,1,5y d g,,3.6,360,1,14.0,3,81,100,8,9,9,10,26,1.0,5.0,15.0,11.0,5.0,35,3,3,5,5,8,8,14,14,16.88951442646024,16.26346818459037,14.57371872722856,16.18893438720122,15.9846547314578,1,100,3,19:30,5,d,g,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
GLENDOR(5) KG  SK  ,921,12/07/2015,İstanbul,6. Koşu:17:00,H.KARATAŞ,H.KARATAŞ,True,1,5y d a,91.62,1.65,165,7,45.0,1,91,45,27,19,15,11,61,7.0,1.0,1.0,3.0,4.0,24,13,3,3,2,54,12,12,8,16.37197118533071,16.59842868208476,16.85866816521495,16.24783362218371,15.45953466800649,7,45,6,17:00,5,d,a,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CESARIO(5) KG  SK  ,923,14/07/2015,Adana,7. Koşu:20:30,V.KIZMAZ,V.KIZMAZ,True,1,3y a g,141.97,14.3,1430,8,1.0,6,68,56,9,10,10,10,29,8.0,10.0,6.0,7.0,8.0,5,0,0,0,0,0,0,0,0,14.7918574346693,15.52086186432941,16.09907120743034,14.09542603425189,14.70912701331176,8,56,7,20:30,3,a,g,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
KING BOY(3) KG  ,939,08/07/2015,Elazığ,3. Koşu:15:30,H.ALTUNKILIÇ,H.ALTUNKILIÇ,True,1,3y a e,101.13,22.3,2230,8,2.0,9,35,46,10,10,10,10,30,8.0,16.0,10.0,,,3,0,0,0,0,0,0,0,0,11.86591515870662,11.83431952662722,15.59656875487393,,,8,46,3,15:30,3,a,e,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MY NUMBER ONE LADY(3) KG  K  ,1027,08/07/2015,Elazığ,2. Koşu:15:00,H.DEMİRTAŞ,H.DEMİRTAŞ,True,1,3y a d,124.55,3.4,340,6,,0,100,61,6,8,7,8,21,6.0,12.0,10.0,9.0,2.0,37,1,2,3,4,2,5,8,10,12.84624648735448,14.55906821963394,14.4841100792366,13.18826244642268,14.93333333333333,6,61,2,15:00,3,a,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TUMAI(9) KG  DB  ,1052,22/07/2015,Elazığ,2. Koşu:15:30,KEMAL KURT,KEMAL KURT,True,1,4y d k,125.99,7.35,735,10,9.0,5,54,18,6,7,8,8,21,10.0,3.0,10.0,10.0,3.0,22,1,1,2,1,4,4,9,4,12.69942058893563,15.31058617672791,12.54705144291091,13.30612969041072,14.1643059490085,10,18,2,15:30,4,d,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ŞERARE(9) KG  SK  ,1083,08/07/2015,Elazığ,1. Koşu:14:30,M.GENEŞ,BURAK AKÇAY,False,0,3y d d,103.45,37.2,3720,9,,0,100,38,5,4,7,5,16,8.0,9.0,15.0,,,3,0,0,0,0,0,0,0,0,,11.59980666988884,11.86855574512277,,,9,38,1,14:30,3,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MY SON SEBATO(4),1085,08/07/2015,Elazığ,1. Koşu:14:30,G.KILIÇ,S.KAPLAN,False,0,3y d e,85.63,33.15,3315,7,,0,100,53,10,10,10,10,30,8.0,7.0,14.0,11.0,8.0,5,0,0,0,0,0,0,0,0,12.17636503460651,14.01378021721359,12.06909557215056,10.9897657806168,11.87366421277606,7,53,1,14:30,3,d,e,yaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHMUDECAN(7) KG  DB  ,1133,22/07/2015,Elazığ,1. Koşu:15:00,B.YEŞİLBUDAK,Ü.TAŞ,False,0,4y a k,185.11,8.25,825,9,,0,100,27,4,3,2,6,9,12.0,9.0,9.0,6.0,2.0,10,1,1,0,0,10,10,0,0,,10.49641886885651,10.26416725190427,12.24214972149109,13.29282187618686,9,27,1,15:00,4,a,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OCAĞIN ATEŞİ(5) KG  K  ,1149,14/07/2015,Adana,5. Koşu:19:30,H.BUDAK,H.BUDAK,True,1,3y d d,100.03,27.05,2705,10,1.0,11,37,43,6,7,8,10,21,10.0,9.0,8.0,1.0,4.0,10,1,0,2,2,10,0,20,20,14.99550134959512,15.69210439378923,13.24722636198046,14.5967643838949,13.11093306140287,10,43,5,19:30,3,d,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
JAMILA(9) KG  K  DB  ,1175,14/07/2015,Adana,5. Koşu:19:30,E.SİNCAN,E.SİNCAN,True,1,4y d k,97.34,23.5,2350,6,1.0,12,31,68,6,7,8,8,21,6.0,10.0,10.0,10.0,5.0,19,2,0,1,3,10,0,5,15,15.40990343127183,15.14092709061262,16.14305227865392,15.86602027324813,15.54691837867851,6,68,5,19:30,4,d,k,yaz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
LEGENDARY MEMORY(1) KG  SK  ,1266,08/07/2015,İstanbul,1. Koşu:18:30,S.KAYA,S.KAYA,True,1,3y d e,127.82,2.15,215,5,,0,100,73,22,17,14,11,53,2.0,5.0,1.0,2.0,3.0,6,1,2,1,0,16,33,16,0,16.03787994501298,15.64700359881083,15.69858712715855,15.87061668681983,16.2321193060769,5,73,1,18:30,3,d,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RABİA(5) KG  K  ,1273,14/07/2015,Ankara,1. Koşu:13:30,A.ASLAN,A.ASLAN,True,1,5y a k,113.56,6.15,615,11,4.0,6,61,33,7,8,8,9,23,11.0,7.0,4.0,4.0,2.0,35,7,3,2,9,20,8,5,25,14.08946812257837,14.82265749073584,14.83386075949367,14.63114122901586,14.67082339996332,11,33,1,13:30,5,a,k,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
KING POINT(8) KG  SK  ,1527,27/07/2015,Şanlıurfa,5. Koşu:20:30,BURAK AKÇAY,BURAK AKÇAY,True,1,3y d d,99.1,33.7,3370,10,1.0,13,27,43,9,9,8,9,26,10.0,8.0,,,,2,0,0,0,0,0,0,0,0,14.1271442986882,13.74181553633498,,,,10,43,5,20:30,3,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
BARBA(13) KG  DB  ,1583,27/07/2015,Bursa,8. Koşu:17:30,H.AYILMAZTEPE,H.AYILMAZTEPE,True,1,4y a a,82.39,165.4,16540,10,0.0,12,31,43,1,4,2,5,7,10.0,10.0,8.0,18.0,9.0,11,0,0,0,0,0,0,0,0,14.56487437795849,14.34841323430115,14.43001443001443,13.48204436818238,14.13838988689288,10,43,8,17:30,4,a,a,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MY SECRET(7) KG  K  ,1584,26/07/2015,İstanbul,8. Koşu:17:00,U.POLAT,U.POLAT,True,1,5y d k,72.06,2.65,265,3,24.0,1,100,88,15,14,13,12,42,3.0,1.0,2.0,2.0,2.0,35,15,11,2,2,42,31,5,5,16.65278934221482,16.63708961845608,16.54715940430226,16.27427579472714,16.60538488909975,3,88,8,17:00,5,d,k,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IL NERO(2) KG  ,1623,26/07/2015,İstanbul,7. Koşu:16:30,A.SÖZEN,A.SÖZEN,True,1,5y d a,128.93,32.75,3275,10,1.0,9,52,47,13,13,13,12,39,10.0,4.0,2.0,6.0,3.0,19,6,3,1,2,31,15,5,10,15.51229349259288,16.56495204882302,16.28001628001628,16.69250029808036,16.58890616899948,10,47,7,16:30,5,d,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOKSÖRKAYA(10),1643,27/07/2015,Şanlıurfa,3. Koşu:19:30,Ü.TAŞ,Ü.TAŞ,True,1,7y k a,131.09,15.55,1555,8,3.0,9,50,56,4,5,5,7,14,8.0,11.0,8.0,2.0,6.0,64,5,5,7,1,7,7,10,1,12.9681897932718,12.40181893344357,12.93541531922757,13.48778165661695,13.05848335043373,8,56,3,19:30,7,k,a,yaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALDORF(18) DB  SKG  SK  ,1660,26/07/2015,İstanbul,6. Koşu:16:00,Ü.ÇİFTÇİ,Ü.ÇİFTÇİ,True,1,3y d d,100.6,91.75,9175,18,0.0,17,5,0,2,5,3,7,10,18.0,14.0,13.0,,,3,0,0,0,0,0,0,0,0,14.91053677932406,15.74803149606299,15.25553012967201,,,18,0,6,16:00,3,d,d,yaz,0,0,1,1,1,0,0,0,0,0,0,0,0,0
PINARKAN(15) KG  SK  ,1665,26/07/2015,İstanbul,6. Koşu:16:00,D.PALAUR,D.PALAUR,True,1,3y d d,100.58,17.3,1730,17,2.0,9,52,5,9,8,9,9,26,17.0,5.0,6.0,10.0,,4,0,0,0,0,0,0,0,0,14.91350169019686,16.16161616161616,16.12036539494895,14.69147894221352,,17,5,6,16:00,3,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AYNZAHLET(10) KG  ,1688,26/07/2015,İstanbul,6. Koşu:16:00,A.ASLAN,A.ASLAN,True,1,3y d d,98.21,33.0,3300,14,1.0,13,29,23,7,8,8,9,23,14.0,15.0,12.0,7.0,5.0,6,0,0,0,0,0,0,0,0,15.27339374809083,14.78821168268723,15.82278481012658,15.52921945239068,16.02564102564103,14,23,6,16:00,3,d,d,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRIZHAN(7) (USA) KG  K  ,1690,26/07/2015,İstanbul,6. Koşu:16:00,GÖKH.GÖKÇE,GÖKH.GÖKÇE,True,1,3y a e,98.35,34.2,3420,15,1.0,14,23,17,10,11,11,11,32,15.0,13.0,13.0,10.0,,4,0,0,0,0,0,0,0,0,15.25165226232842,15.16957416838227,15.75866726699685,15.52634302867198,,15,17,6,16:00,3,a,e,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MONEY CENTER(3) DB  SKG  SK  ,1714,27/07/2015,Şanlıurfa,2. Koşu:19:00,H.DEMİRTAŞ,H.DEMİRTAŞ,True,1,5y d k,131.8,8.25,825,7,5.0,7,61,62,6,8,7,8,21,7.0,10.0,5.0,13.0,3.0,59,4,7,4,4,6,11,6,6,13.65705614567526,14.11170528817588,13.23211922835852,13.81003529231241,14.58397298127111,7,62,2,19:00,5,d,k,yaz,0,0,1,1,1,0,0,0,0,0,0,0,0,0
COSMIC FEELINGS(6) KG  DB  ,1724,27/07/2015,Şanlıurfa,2. Koşu:19:00,S.KAPLAN,S.KAPLAN,True,1,5y d k,133.53,43.1,4310,8,1.0,13,27,56,8,8,7,9,23,8.0,12.0,12.0,14.0,9.0,52,4,1,4,5,7,1,7,9,13.48011682767917,12.69680040629761,11.91737288135593,14.25584489640753,15.19426958975472,8,56,2,19:00,5,d,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
KÜÇÜK MURAT(7) SKG  SK  ,1731,27/07/2015,Şanlıurfa,2. Koşu:19:00,AHMET TAŞ,AHMET TAŞ,True,1,4y d a,143.59,10.35,1035,11,2.0,10,44,37,8,8,9,9,25,11.0,12.0,5.0,6.0,9.0,10,1,0,0,1,10,0,0,10,12.53569190055018,14.09600118703168,14.59728662201614,15.2972027972028,15.25642530219458,11,37,2,19:00,4,d,a,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SENCERBEY(5) KG  K  ,1733,27/07/2015,Bursa,5. Koşu:16:00,OĞUZ EREN,OĞUZ EREN,True,1,3y a e,98.63,1.85,185,15,13.0,3,87,12,8,8,8,9,24,15.0,10.0,5.0,,,3,0,0,0,0,0,0,0,0,15.20835445604786,16.45316723469268,16.15815987073472,,,15,12,5,16:00,3,a,e,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTVİNLİ(13) KG  DB  ,1743,26/07/2015,Adana,7. Koşu:21:30,A.C.BİNİZETOĞLU,A.C.BİNİZETOĞLU,True,1,5y a k,102.19,4.8,480,10,3.0,9,40,30,8,6,8,8,22,10.0,7.0,3.0,6.0,3.0,36,4,5,7,1,11,13,19,2,13.69997064292005,13.8217000691085,14.06469760900141,13.34644563079517,13.75425727010741,10,30,7,21:30,5,a,k,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FLORETTE(8) SK  ,1795,27/07/2015,Şanlıurfa,1. Koşu:18:30,UFUK AKAY,UFUK AKAY,True,1,3y d d,95.69,2.1,210,6,,0,100,68,7,8,10,9,25,6.0,4.0,12.0,2.0,5.0,8,0,1,1,1,0,12,12,12,14.63057790782736,14.3232275005968,12.28689909384119,14.31980906921241,14.77884513881558,6,68,1,18:30,3,d,d,yaz,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZEKİBEY(14) KG  ,1802,28/07/2015,Adana,9. Koşu:21:30,V.DEMİR,V.DEMİR,True,1,4y a a,131.65,7.25,725,12,2.0,10,35,21,7,8,7,9,22,12.0,8.0,10.0,15.0,14.0,12,2,1,1,1,16,8,8,8,13.67261678693505,14.12312037883193,11.45682585624698,12.28249744114637,11.91811553561413,12,21,9,21:30,4,a,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOST TAY(15) KG  ,1820,28/07/2015,Adana,9. Koşu:21:30,S.PARILDAR,S.PARILDAR,True,1,4y k a,137.35,28.1,2810,13,2.0,12,21,14,3,4,5,4,12,13.0,5.0,2.0,11.0,4.0,8,0,1,0,1,0,12,0,12,13.10520567892246,13.83946223803875,13.31464611072179,12.86291804483646,13.58563803978651,13,14,9,21:30,4,k,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KOZANBEYİ(11) DB  ,1822,28/07/2015,Adana,9. Koşu:21:30,SER.ÇELİK,SER.ÇELİK,True,1,4y a a,127.38,146.15,14615,10,0.0,15,0,35,2,4,3,3,9,10.0,12.0,8.0,5.0,11.0,10,0,0,0,0,0,0,0,0,14.13094677343382,13.85779767615393,14.03450837942706,13.39954283912667,12.94498381877023,10,35,9,21:30,4,a,a,yaz,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TATARGELİN(9) KG  ,1861,28/07/2015,Adana,8. Koşu:21:00,V.KIZMAZ,V.KIZMAZ,True,1,3y a d,87.71,7.95,795,12,3.0,6,64,21,9,10,10,10,29,12.0,,,,,1,0,0,0,0,0,0,0,0,13.68145023372478,,,,,12,21,8,21:00,3,a,d,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SALFORD(8) KG  K  ,1886,26/07/2015,Adana,5. Koşu:20:30,H.KILIÇARSLAN,H.KILIÇARSLAN,True,1,7y d a,89.24,10.25,1025,6,1.0,8,46,61,7,8,9,10,24,6.0,7.0,8.0,9.0,9.0,81,7,10,12,7,8,12,14,8,15.68803227252353,15.06740681998414,14.82406179293126,14.97678598172832,14.58397298127111,6,61,5,20:30,7,d,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HASİPAĞA(3) KG  DB  ,1951,26/07/2015,İstanbul,3. Koşu:14:30,Ü.ÇİFTÇİ,Ü.ÇİFTÇİ,True,1,3y d e,93.74,81.6,8159,6,0.0,18,0,70,2,5,3,7,10,6.0,14.0,16.0,,,3,0,0,0,0,0,0,0,0,16.00170684873053,15.14495889225444,,,,6,70,3,14:30,3,d,e,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MY BUTTERFLY(16) KG  SK  ,1964,26/07/2015,İstanbul,3. Koşu:14:30,GÖKH.GÖKÇE,GÖKH.GÖKÇE,True,1,3y d d,92.8,2.65,265,2,17.0,2,94,94,10,11,11,11,32,2.0,3.0,6.0,,,3,0,1,1,0,0,33,33,0,16.16379310344828,15.76168334778154,16.04032997250229,,,2,94,3,14:30,3,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
BİRSENCAN(8) KG  DB  SK  ,1970,26/07/2015,Adana,3. Koşu:19:30,KEMAL KURT,KEMAL KURT,True,1,4y a k,128.77,44.65,4465,14,1.0,12,19,0,6,7,8,8,21,14.0,10.0,7.0,1.0,5.0,9,1,0,0,2,11,0,0,22,13.20183272501359,13.51808043257858,13.81949611991071,13.83604289173296,13.76535366370182,14,0,3,19:30,4,a,k,yaz,1,0,1,1,0,0,0,0,0,0,0,0,0,0
BETON(4) KG  ,1985,26/07/2015,İstanbul,2. Koşu:14:00,A.ASLAN,A.ASLAN,True,1,3y a e,102.17,19.9,1989,8,0.0,8,58,58,7,8,8,9,23,8.0,11.0,,,,2,0,0,0,0,0,0,0,0,12.72389155329353,12.37240952675534,,,,8,58,2,14:00,3,a,e,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SON MANAZ(6) KG  DB  ,1992,25/07/2015,Kocaeli,1. Koşu:17:45,H.ŞİMŞEK,H.ŞİMŞEK,True,1,3y k e,100.8,10.2,1019,5,,0,100,69,7,7,8,9,22,5.0,10.0,,,,2,0,0,0,0,0,0,0,0,13.88888888888889,13.26553172673005,,,,5,69,1,17:45,3,k,e,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EXTRA GÜZEL(4) K  DB  ,2059,28/07/2015,Adana,5. Koşu:19:30,MAHMUT TURAN,MAHMUT TURAN,True,1,5y a k,91.61,20.3,2030,10,3.0,12,21,35,8,9,10,10,27,10.0,11.0,8.0,8.0,3.0,45,5,3,8,7,11,6,17,15,15.28217443510534,16.33319722335647,15.59193674128522,16.37375832332715,15.71709233791749,10,35,5,19:30,5,a,k,yaz,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BEYAZ GELİN(1) KG    ,2134,28/07/2015,Adana,3. Koşu:18:30,KEMAL KURT,KEMAL KURT,True,1,3y a d,100.12,2.5,250,11,11.0,4,78,28,6,7,8,8,21,11.0,15.0,9.0,11.0,9.0,5,0,0,0,0,0,0,0,0,11.98561725928885,,,14.07569596496716,12.47448400997959,11,28,3,18:30,3,a,d,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BORN TO FLY(12) KG  K  ,2136,28/07/2015,Ankara,7. Koşu:17:00,M.BAYIR,M.BAYIR,True,1,4y k a,91.91,17.2,1720,12,1.0,10,25,8,10,10,11,10,31,12.0,12.0,7.0,5.0,8.0,18,0,0,1,0,0,0,5,0,15.23229246001523,16.2037037037037,15.55209953343702,15.24545177355422,15.13622603430878,12,8,7,17:00,4,k,a,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
YOUR WELCOME(11) KG  K  TGK  ,2141,28/07/2015,Ankara,7. Koşu:17:00,S.ERKUŞ,S.ERKUŞ,True,1,4y d a,86.85,73.8,7380,10,1.0,12,8,25,8,9,9,10,26,10.0,8.0,12.0,7.0,12.0,15,0,0,2,0,0,0,13,0,16.11974668969488,13.448391796481,14.61377870563674,16.61721068249258,,10,25,7,17:00,4,d,a,yaz,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ADİLİM(1) KG  ,2195,28/07/2015,Ankara,5. Koşu:16:00,M.BAYDAN,M.BAYDAN,True,1,3y a e,104.64,24.95,2495,13,0.0,12,8,0,10,12,11,11,33,13.0,14.0,11.0,5.0,,4,0,0,0,0,0,0,0,0,13.37920489296636,14.14260459634649,14.12928293889085,14.21969427657305,,13,0,5,16:00,3,a,e,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GÜLBEYAZ HATUN(10) KG    ,2203,28/07/2015,Ankara,5. Koşu:16:00,Z.KARABULUT,Z.KARABULUT,True,1,3y k d,102.87,32.05,3204,10,2.0,9,33,25,7,6,6,8,19,10.0,12.0,14.0,8.0,,4,0,0,0,0,0,0,0,0,13.60940993486925,12.04456489009335,,12.87001287001287,,10,25,5,16:00,3,k,d,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BABA ÇETİN(3) KG  SK  ,2209,28/07/2015,Ankara,5. Koşu:16:00,M.AKYAVUZ,M.AKYAVUZ,True,1,3y k e,98.85,13.95,1395,7,2.0,7,50,50,11,11,10,11,32,7.0,13.0,2.0,,,3,0,1,0,0,0,33,0,0,14.16287303995954,10.2818952960329,13.61007145287513,,,7,50,5,16:00,3,k,e,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MATRAKÇI(4) SKG  SK  ,2233,29/07/2015,İstanbul,5. Koşu:19:00,U.POLAT,U.POLAT,True,1,3y k e,88.52,3.4,340,1,14.0,3,84,100,15,14,13,12,42,1.0,3.0,,,,2,1,0,1,0,50,0,50,0,14.68594667871668,,,,,1,100,5,19:00,3,k,e,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KOYRAMERT(1) SKG  ,2241,29/07/2015,İstanbul,3. Koşu:17:45,U.BARLIK,U.BARLIK,True,1,5y k a,161.76,20.3,2030,10,4.0,8,46,30,10,8,10,9,28,10.0,11.0,4.0,12.0,12.0,46,4,4,5,6,8,8,10,13,12.36399604352127,,14.60751902821558,12.24700270723218,13.62397820163488,10,30,3,17:45,5,k,a,yaz,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEYRANKIZ(10) KG  K  ,2299,14/07/2015,Adana,1. Koşu:17:15,H.İ.AKKAYA,H.İ.AKKAYA,True,1,3y a d,101.52,23.9,2390,8,1.0,10,43,56,7,7,9,10,23,8.0,14.0,10.0,9.0,10.0,5,0,0,0,0,0,0,0,0,12.8053585500394,13.20467242254952,13.66898279986331,12.90738948047757,,8,56,1,17:15,3,a,d,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
